## REPORT METADATA
Start Date,2026-06-12
End Date,2026-06-18
Week Ending,"June 18th, 2026"
Date Range Label,"June 12 – June 18, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,133,20,15.0%,107,80.5%
Show Rate,57.1%,80.0%,,52.3%,
Showed,76,16,21.1%,56,73.7%
Qualified,72,15,20.8%,53,73.6%
Closed Won,10,3,30.0%,7,70.0%
Close Rate (b→c),7.5%,15.0%,,6.5%,
Revenue,"$66,976","$15,494",23.1%,"$51,482",76.9%
Avg Deal,"$6,698","$5,165",,"$7,355",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close
EXTERNAL,Instagram,,17,17,6% (300),13,76.5%,12,70.6%,3,17.6%,"$15,494","$5,165"
EXTERNAL,X,,1,1,10% (10),1,100.0%,1,100.0%,,0.0%,$0,
EXTERNAL,Linkedin,,2,2,20% (10),2,100.0%,2,100.0%,,0.0%,$0,
IN-HOUSE,YouTube,,9,9,7% (132),7,77.8%,7,77.8%,1,11.1%,"$5,997","$5,997"
IN-HOUSE,Meta Ads,,6,6,14% (44),4,66.7%,3,50.0%,,0.0%,$0,
IN-HOUSE,Website,,18,18,18% (100),11,61.1%,12,66.7%,2,11.1%,"$11,994","$5,997"
IN-HOUSE,Internal Webinar,,28,28,40% (70),17,60.7%,16,57.1%,1,3.6%,"$14,997","$14,997"
IN-HOUSE,Reactivation Scrapers,,46,46,,17,37.0%,15,32.6%,3,6.5%,"$18,494","$6,165"
UNCATEGORIZED,LTF - In-House,,4,4,,4,100.0%,4,100.0%,,0.0%,$0,
UNCATEGORIZED,No Attribution,,2,2,,0,0.0%,0,0.0%,,0.0%,$0,
TOTAL,TOTAL,,133,,,76,57.1%,72,54.1%,10,7.5%,"$66,976","$6,698"
